entity_type,entity_id,entity_name,candidate_count,first_candidate_full_name,first_candidate_username,error_message,reason_for_no_validation
empresa,946,,0,,,,Sem candidatos da API
empresa,433,,0,,,,Sem candidatos da API
empresa,918,,0,,,,Sem candidatos da API
empresa,437,,3,BÖA,bonus_question,,Nenhum candidato passou na validação
empresa,2509,,0,,,,Sem candidatos da API
empresa,1211,,0,,,,Sem candidatos da API
empresa,1278,,0,,,,Sem candidatos da API
empresa,1334,,20,Crysna Figueiredo | Psicóloga & Neuropsicóloga,minhapsi.crysna,,Nenhum candidato passou na validação
empresa,960,,0,,,,Sem candidatos da API
empresa,1932,,0,,,,Sem candidatos da API
empresa,705,,7,Energia Capixaba,energiacapixaba027,,Nenhum candidato passou na validação
empresa,1505,,0,,,,Sem candidatos da API
empresa,521,,0,,,,Sem candidatos da API
empresa,820,,0,,,,Sem candidatos da API
empresa,819,,0,,,,Sem candidatos da API
empresa,2525,,0,,,,Sem candidatos da API
empresa,610,,0,,,,Sem candidatos da API
empresa,744,,0,,,,Sem candidatos da API
empresa,617,,0,,,,Sem candidatos da API
empresa,1291,,0,,,,Sem candidatos da API
empresa,2599,,13,Centro Educacional Barreto,centroeducacionalbarreto,,Nenhum candidato passou na validação
empresa,519,,0,,,,Sem candidatos da API
empresa,1219,,1,Nutrição Animal | MILHO,cerealistaestrela,,Nenhum candidato passou na validação
empresa,923,,0,,,,Sem candidatos da API
empresa,1441,,0,,,,Sem candidatos da API
empresa,522,,0,,,,Sem candidatos da API
empresa,1420,,0,,,,Sem candidatos da API
empresa,518,,0,,,,Sem candidatos da API
empresa,2490,,0,,,,Sem candidatos da API
empresa,2370,,0,,,,Sem candidatos da API
empresa,609,,0,,,,Sem candidatos da API
empresa,1437,,0,,,,Sem candidatos da API
empresa,2635,,0,,,,Sem candidatos da API
empresa,2673,,0,,,,Sem candidatos da API
empresa,290,,0,,,,Sem candidatos da API
empresa,955,,0,,,,Sem candidatos da API
empresa,2259,,0,,,,Sem candidatos da API
empresa,2582,,0,,,,Sem candidatos da API
empresa,2576,,20,Condomínio Residencial Turim,condominio_residencial_turim,,Nenhum candidato passou na validação
empresa,2562,,20,Condomínio Residencial Itália,condominioresidencialitalia,,Nenhum candidato passou na validação
empresa,1938,,17,Condominio Riverside,riverside288,,Nenhum candidato passou na validação
empresa,2524,,0,,,,Sem candidatos da API
empresa,2396,,0,,,,Sem candidatos da API
empresa,2611,,1,Cesar Ccsnet,consorciomagaluimbituba,,Nenhum candidato passou na validação
empresa,2511,,0,,,,Sem candidatos da API
empresa,1012,,0,,,,Sem candidatos da API
empresa,1014,,0,,,,Sem candidatos da API
empresa,711,,0,,,,Sem candidatos da API
empresa,710,,0,,,,Sem candidatos da API
empresa,706,,0,,,,Sem candidatos da API
empresa,712,,0,,,,Sem candidatos da API
empresa,717,,0,,,,Sem candidatos da API
empresa,707,,0,,,,Sem candidatos da API
empresa,713,,0,,,,Sem candidatos da API
empresa,708,,0,,,,Sem candidatos da API
empresa,714,,0,,,,Sem candidatos da API
empresa,709,,0,,,,Sem candidatos da API
empresa,715,,0,,,,Sem candidatos da API
empresa,716,,0,,,,Sem candidatos da API
empresa,700,,0,,,,Sem candidatos da API
empresa,701,,0,,,,Sem candidatos da API
empresa,702,,0,,,,Sem candidatos da API
empresa,727,,0,,,,Sem candidatos da API
empresa,725,,0,,,,Sem candidatos da API
empresa,724,,0,,,,Sem candidatos da API
empresa,719,,0,,,,Sem candidatos da API
empresa,718,,0,,,,Sem candidatos da API
empresa,2444,,0,,,,Sem candidatos da API
empresa,2457,,4,Ogenildo lamas,lamas_construtora,,Nenhum candidato passou na validação
empresa,2549,,8,BRAVOS REPRESENTAÇÕES CONSULTORIA E GESTAO DE NEGOCIOS,bravosrepresentacoes,,Nenhum candidato passou na validação
empresa,880,,0,,,,Sem candidatos da API
empresa,1425,,9,Cooper Jaime Pinheiro,cooperjaimepinheiro,,Nenhum candidato passou na validação
empresa,1326,,0,,,,Sem candidatos da API
empresa,494,,0,,,,Sem candidatos da API
empresa,1227,,0,,,,Sem candidatos da API
empresa,1255,,0,,,,Sem candidatos da API
empresa,2600,,21,Povos Originários,povosoriginarios,,Nenhum candidato passou na validação
empresa,1542,,0,,,,Sem candidatos da API
empresa,942,,0,,,,Sem candidatos da API
empresa,1839,,0,,,,Sem candidatos da API
empresa,1157,,0,,,,Sem candidatos da API
empresa,2474,,4,A melhor loja de máquinas e ferramentas do Brasil,comercial_teixeira,,Nenhum candidato passou na validação
empresa,427,,0,,,,Sem candidatos da API
empresa,1409,,0,,,,Sem candidatos da API
empresa,422,,1,hegemonydataconsult,hegemonydataconsult,,Nenhum candidato passou na validação
empresa,2472,,0,,,,Sem candidatos da API
empresa,1357,,0,,,,Sem candidatos da API
empresa,481,,0,,,,Sem candidatos da API
empresa,1500,,0,,,,Sem candidatos da API
empresa,913,,9,Andre Emidio Elias,deeeh_elias,,Nenhum candidato passou na validação
empresa,881,,0,,,,Sem candidatos da API
empresa,1049,,0,,,,Sem candidatos da API
empresa,659,,2,Fechado!,moraisdeposito,,Nenhum candidato passou na validação
empresa,1516,,4,Esthéticienne/Technicienne de cils à domicile (mobile)🚗,home_care_by_as,,Nenhum candidato passou na validação
empresa,2503,,0,,,,Sem candidatos da API
empresa,1536,,0,,,,Sem candidatos da API
empresa,486,,0,,,,Sem candidatos da API
empresa,840,,1,dulce maria de almeida f.,almedulcemariade,,Nenhum candidato passou na validação
empresa,1087,,1,Empório da Moda/Silvana Dutra,silvanaemporio,,Nenhum candidato passou na validação
empresa,890,,0,,,,Sem candidatos da API
empresa,1934,,2,,edificiodelbauhaus,,Nenhum candidato passou na validação
empresa,2584,,0,,,,Sem candidatos da API
empresa,1936,,0,,,,Sem candidatos da API
empresa,2389,,0,,,,Sem candidatos da API
empresa,1823,,19,Fernando Lima,emb.brasil,,Nenhum candidato passou na validação
empresa,2383,,0,,,,Sem candidatos da API
